id,age,avg_salary,government_employee,highest_education,employment_type,len_employment,study_status,size_of_company,investments,investments_value,property_owned_value,reported_monthly_income,total_existing_debt,housing_status,credit_history,loan_amount,loan_term,monthly_payment,stability_income,total_stable_income_monthly,core_net_worth,ratio_income_debt,ratio_debt_net_worth,ratio_payment_to_income,age_young,age_prime,age_senior,age_old,ratio_income_to_avg_salary,mortgage_end_age,years_of_mortgage_after_retirement,defaulted,loan_approved
47,35,29750.0,no,high_school,permanent,10,no,36187,no,0.0,0,26900,0.0,rent,fair,2250242,35,5413.0,0.78082,25721.0,80700.0,0.0,0.0,0.14,0,1,0,0,0.66,70,5,0.3392,0.37036
48,32,29750.0,no,high_school,temporary,5,no,59,no,0.0,0,25500,0.0,rent,bad,2918349,25,9799.0,0.68493,23893.0,76500.0,0.0,0.0,0.57,0,1,0,0,0.61,57,-8,0.8073,3e-05
49,58,29750.0,yes,bachelor,permanent,35,no,31303,yes,0.0,8657568,112600,5675056.0,mortgage,excellent,5709875,17,28130.0,0.80822,108281.0,3320312.0,0.88,0.93,0.25,0,0,1,0,0.86,75,10,0.2407,0.35617
50,23,29750.0,no,high_school,permanent,1,no,31977,no,0.0,0,18500,0.0,rent,bad,1406466,35,3383.0,0.63014,17132.0,55500.0,0.0,0.0,0.12,1,0,0,0,0.39,58,-7,0.6244,0.00031
51,19,29750.0,no,basic,freelancer,0,no,1,no,0.0,0,14900,0.0,rent,bad,220318,6,3065.0,0.30137,12818.0,44700.0,0.0,0.0,0.2,1,0,0,0,0.08,25,-40,0.7774,0.0003
52,52,29750.0,no,high_school,permanent,6,no,34549,no,0.0,0,33200,0.0,rent,fair,873121,4,18212.0,0.69863,31199.0,99600.0,0.0,0.0,0.83,0,0,1,0,0.74,56,-9,0.57,2e-05
53,20,29750.0,yes,basic,permanent,4,no,16844,no,0.0,0,14900,0.0,rent,bad,803710,33,2049.0,0.63014,13798.0,44700.0,0.0,0.0,0.04,1,0,0,0,0.18,53,-12,0.6509,0.00031
54,49,29750.0,no,bachelor,freelancer,11,no,1,no,0.0,0,14900,0.0,rent,bad,338893,4,7069.0,0.58904,13675.0,44700.0,0.0,0.0,0.76,0,0,1,0,0.14,53,-12,1.0787,0.0
55,64,29750.0,no,master,permanent,26,no,21442,yes,132961678.0,35887000,222900,0.0,own,excellent,4666762,3,129749.0,0.71233,210076.0,169517378.0,0.0,0.0,0.86,0,0,0,1,0.94,67,2,0.159,3e-05
56,47,29750.0,no,basic,permanent,17,no,27781,no,0.0,0,21300,0.0,rent,bad,857589,35,2063.0,0.58904,19549.0,63900.0,0.0,0.0,0.01,0,0,1,0,0.48,82,17,0.5301,3e-05
57,43,29750.0,no,high_school,temporary,12,no,2,no,0.0,0,30000,0.0,rent,bad,3220768,26,10402.0,0.57534,27452.0,90000.0,0.0,0.0,0.5,0,0,1,0,0.69,69,4,0.7394,0.00023
58,27,29750.0,no,basic,temporary,9,no,91,no,0.0,0,14900,0.0,rent,bad,1559780,19,6879.0,0.54795,13553.0,44700.0,0.0,0.0,0.74,0,1,0,0,0.13,46,-19,1.0706,0.0
59,24,29750.0,no,phd,permanent,1,no,37304,yes,4751781.0,90916000,238000,0.0,own,excellent,17449609,28,52361.0,0.71233,224307.0,96381781.0,0.0,0.0,0.19,1,0,0,0,0.97,52,-13,0.0859,0.99167
60,41,29750.0,yes,bachelor,permanent,20,no,1912,yes,0.0,3904000,14900,0.0,own,excellent,259263,3,7208.0,0.87671,14533.0,3948700.0,0.0,0.0,0.73,0,0,1,0,0.27,44,-21,0.1878,4e-05
61,43,29750.0,no,bachelor,temporary,12,no,17,no,0.0,0,14900,0.0,rent,bad,933850,17,4601.0,0.68493,13961.0,44700.0,0.0,0.0,0.4,0,0,1,0,0.21,60,-5,0.8476,0.0003
62,61,29750.0,no,high_school,permanent,6,no,29558,no,0.0,0,17200,0.0,rent,bad,613538,18,2856.0,0.61644,15881.0,51600.0,0.0,0.0,0.09,0,0,0,1,0.35,79,14,0.621,6e-05
63,26,29750.0,no,master,unemployed,0,no,0,no,0.0,0,1271,0.0,rent,bad,134041,20,562.0,0.46575,1135.0,3813.0,0.0,0.0,0.73,0,1,0,0,0.04,46,-19,1.096,0.0
64,33,29750.0,no,bachelor,freelancer,1,no,1,yes,0.0,27878000,143700,7594236.0,own,excellent,14071644,16,73635.0,0.58904,131889.0,20714864.0,0.89,0.84,0.8,0,1,0,0,0.88,49,-16,0.2488,4e-05
65,64,29750.0,no,high_school,temporary,33,no,94,no,0.0,0,28800,0.0,rent,bad,240552,1,20052.0,0.49315,25881.0,86400.0,0.0,0.0,0.95,0,0,0,1,0.66,65,0,1.0085,0.0
66,47,29750.0,yes,high_school,permanent,23,no,18768,yes,0.0,2452119,23700,185219.0,mortgage,excellent,2419598,25,8125.0,0.87671,23116.0,2338000.0,0.76,0.78,0.44,0,0,1,0,0.58,72,7,0.2704,0.35411
67,31,29750.0,no,bachelor,permanent,9,no,11655,yes,1660331.0,0,14900,0.0,rent,excellent,670958,31,1820.0,0.78082,14247.0,1705031.0,0.0,0.0,0.02,0,1,0,0,0.25,62,-3,0.1538,0.99756
68,45,29750.0,no,high_school,permanent,7,no,2357,no,0.0,0,27000,0.0,rent,bad,2107265,29,6107.0,0.67123,25225.0,81000.0,0.0,0.0,0.21,0,0,1,0,0.64,74,9,0.59,0.00011
69,31,29750.0,no,high_school,temporary,11,no,49,no,0.0,0,23800,0.0,rent,bad,3092375,33,7885.0,0.71233,22431.0,71400.0,0.0,0.0,0.44,0,1,0,0,0.56,64,-1,0.7498,0.0003
70,22,29750.0,no,bachelor,permanent,0,no,38012,yes,925919.0,0,45300,0.0,rent,excellent,4406241,25,14795.0,0.63014,41949.0,1061819.0,0.0,0.0,0.44,1,0,0,0,0.79,47,-18,0.1676,0.97851
71,58,29750.0,no,high_school,temporary,14,no,100,no,0.0,0,28400,0.0,rent,bad,1753757,24,6132.0,0.67123,26533.0,85200.0,0.0,0.0,0.18,0,0,1,0,0.67,82,17,0.5623,3e-05
72,41,29750.0,no,phd,permanent,0,no,14388,yes,0.0,41888000,238000,0.0,own,excellent,19695785,35,47378.0,0.72603,224959.0,42602000.0,0.0,0.0,0.15,0,0,1,0,0.97,76,11,0.0816,0.18629
73,57,29750.0,yes,basic,permanent,34,no,21203,no,0.0,0,14900,0.0,rent,bad,1211154,20,5076.0,0.64384,13839.0,44700.0,0.0,0.0,0.47,0,0,1,0,0.19,77,12,0.8947,6e-05
74,23,29750.0,no,basic,temporary,7,no,12,no,0.0,0,14900,0.0,rent,bad,893582,14,5341.0,0.45205,13267.0,44700.0,0.0,0.0,0.55,1,0,0,0,0.1,37,-28,0.9717,3e-05
75,27,29750.0,no,master,permanent,5,no,32508,yes,15016208.0,18669117,168700,6105284.0,mortgage,excellent,16024048,24,56032.0,0.80822,162229.0,28086141.0,0.84,0.82,0.43,0,1,0,0,0.91,51,-14,0.2515,0.94421
76,59,29750.0,yes,bachelor,permanent,20,no,18765,yes,0.0,8440000,54100,5962249.0,own,excellent,5935713,20,24878.0,0.90411,53062.0,2640051.0,0.97,0.95,0.69,0,0,1,0,0.81,79,14,0.2514,0.00073
77,40,29750.0,no,high_school,temporary,3,no,44,no,0.0,0,40200,0.0,rent,bad,3441549,14,20570.0,0.60274,37006.0,120600.0,0.0,0.0,0.8,0,0,1,0,0.78,54,-11,0.8809,0.0
78,58,29750.0,no,high_school,freelancer,27,no,1,no,0.0,0,39600,0.0,rent,bad,1143916,10,9561.0,0.57534,36237.0,118800.0,0.0,0.0,0.26,0,0,1,0,0.78,68,3,0.5704,0.00023
79,30,29750.0,no,basic,permanent,1,no,7488,no,0.0,0,14900,0.0,rent,bad,546736,6,7607.0,0.57534,13635.0,44700.0,0.0,0.0,0.8,0,1,0,0,0.14,36,-29,1.1017,0.0
80,64,29750.0,no,bachelor,freelancer,36,no,1,yes,0.0,848991,14900,811323.0,mortgage,fair,807515,12,5628.0,0.42466,13185.0,82368.0,0.9,1.0,0.6,0,0,0,1,0.09,76,11,0.8813,0.00036
81,34,29750.0,no,high_school,temporary,4,no,42,no,0.0,0,16200,0.0,rent,bad,946082,31,2566.0,0.65753,15090.0,48600.0,0.0,0.0,0.07,0,1,0,0,0.31,65,0,0.6233,0.00031
82,37,29750.0,no,bachelor,permanent,4,no,12741,yes,0.0,8267444,59600,4273326.0,mortgage,excellent,1679041,4,35022.0,0.75342,56661.0,4172918.0,0.92,0.9,0.86,0,1,0,0,0.81,41,-24,0.3263,4e-05
83,27,29750.0,no,bachelor,permanent,6,no,21157,yes,0.0,8589000,70400,1749416.0,own,excellent,8389745,29,24314.0,0.78082,67314.0,7050784.0,0.81,0.83,0.46,0,1,0,0,0.82,56,-9,0.211,0.94363
84,43,29750.0,no,bachelor,permanent,4,no,9515,yes,0.0,15339711,209800,4007777.0,mortgage,excellent,6691933,18,31145.0,0.68493,196580.0,11961334.0,0.79,0.84,0.05,0,0,1,0,0.94,61,-4,0.1964,0.96201
85,34,29750.0,no,high_school,temporary,10,no,36,no,0.0,0,14900,0.0,rent,bad,748181,25,2512.0,0.71233,14043.0,44700.0,0.0,0.0,0.09,0,1,0,0,0.22,59,-6,0.6658,0.00031
86,59,29750.0,yes,basic,permanent,42,no,25238,no,0.0,0,16400,0.0,rent,bad,1982671,21,7916.0,0.64384,15232.0,49200.0,0.0,0.0,0.76,0,0,1,0,0.32,80,15,1.0166,0.0
87,24,29750.0,no,basic,temporary,6,no,91,no,0.0,0,14900,0.0,rent,bad,1158932,15,6467.0,0.45205,13267.0,44700.0,0.0,0.0,0.72,1,0,0,0,0.1,39,-26,1.0695,0.0
88,32,29750.0,yes,high_school,permanent,10,no,6346,no,0.0,0,23200,0.0,rent,fair,1382172,13,8894.0,0.90411,22755.0,69600.0,0.0,0.0,0.53,0,1,0,0,0.57,45,-20,0.4988,0.00242
89,42,29750.0,no,high_school,unemployed,0,no,0,no,0.0,0,0,0.0,rent,bad,100000,12,697.0,0.35616,0.0,0.0,0.0,0.0,0.99,0,0,1,0,0.0,54,-11,2.0,0.0
90,61,29750.0,yes,high_school,permanent,38,no,17314,no,0.0,0,22100,0.0,rent,bad,1591500,11,12096.0,0.69863,20768.0,66300.0,0.0,0.0,0.83,0,0,0,1,0.51,72,7,0.9913,0.0
91,40,29750.0,no,high_school,permanent,7,no,27871,no,0.0,0,31000,0.0,rent,fair,1422731,25,4777.0,0.69863,29132.0,93000.0,0.0,0.0,0.06,0,0,1,0,0.72,65,0,0.2976,0.49611
92,53,29750.0,no,high_school,permanent,8,no,35140,no,0.0,0,25800,0.0,rent,bad,928828,24,3248.0,0.69863,24245.0,77400.0,0.0,0.0,0.02,0,0,1,0,0.62,77,12,0.4876,6e-05
93,46,29750.0,yes,master,permanent,30,no,213,yes,0.0,56604000,213600,40648799.0,own,excellent,11321137,15,63173.0,0.79452,204822.0,16596001.0,1.0,0.95,0.35,0,0,1,0,0.94,61,-4,0.2089,0.94561
94,54,29750.0,no,basic,permanent,28,no,18768,no,0.0,0,14900,0.0,rent,bad,2125257,35,5112.0,0.60274,13716.0,44700.0,0.0,0.0,0.49,0,0,1,0,0.16,89,24,0.9165,1e-05
95,63,29750.0,no,basic,temporary,28,no,69,no,0.0,0,21300,0.0,rent,bad,108301,2,4515.0,0.45205,18966.0,63900.0,0.0,0.0,0.2,0,0,0,1,0.46,65,0,0.6463,0.00031
96,22,29750.0,no,high_school,permanent,0,yes,25027,no,0.0,0,7438,0.0,rent,bad,759792,18,3536.0,0.60274,6847.0,22312.0,0.0,0.0,0.75,1,0,0,0,0.06,40,-25,1.1006,0.0
97,48,29750.0,yes,high_school,permanent,25,no,13700,no,0.0,0,18500,0.0,rent,bad,840479,33,2143.0,0.87671,18044.0,55500.0,0.0,0.0,0.01,0,0,1,0,0.42,81,16,0.5508,3e-05
98,35,29750.0,yes,high_school,permanent,12,no,17933,no,0.0,0,21600,0.0,rent,fair,928594,35,2234.0,0.91781,21245.0,64800.0,0.0,0.0,0.01,0,1,0,0,0.53,70,5,0.3206,0.3727
99,26,29750.0,no,master,permanent,6,no,15281,yes,0.0,23160000,193000,0.0,own,excellent,6378577,21,25468.0,0.80822,185597.0,23739000.0,0.0,0.0,0.03,0,1,0,0,0.93,47,-18,0.0714,0.99915
100,28,29750.0,no,bachelor,permanent,2,no,28180,no,0.0,0,14900,0.0,rent,bad,2122301,32,5579.0,0.75342,14165.0,44700.0,0.0,0.0,0.54,0,1,0,0,0.23,60,-5,0.9212,3e-05
101,19,29750.0,no,bachelor,freelancer,0,no,1,yes,0.0,59238000,176300,0.0,own,excellent,1678918,1,139954.0,0.46575,157462.0,59766900.0,0.0,0.0,0.97,1,0,0,0,0.9,20,-45,0.1732,4e-05
102,36,29750.0,no,bachelor,temporary,15,no,55,yes,0.0,9961454,124700,1513178.0,mortgage,excellent,17999592,33,45895.0,0.73973,118209.0,8822376.0,0.77,0.81,0.52,0,1,0,0,0.87,69,4,0.2604,0.00353
103,57,29750.0,yes,high_school,permanent,38,no,3452,no,0.0,0,26400,0.0,rent,fair,2814662,30,7888.0,0.76712,25170.0,79200.0,0.0,0.0,0.36,0,0,1,0,0.64,87,22,0.4226,0.02287
104,50,29750.0,no,high_school,permanent,13,no,25039,no,0.0,0,34600,0.0,rent,fair,2081669,25,6990.0,0.72603,32704.0,103800.0,0.0,0.0,0.15,0,0,1,0,0.76,75,10,0.3213,0.18518
105,42,29750.0,no,phd,permanent,12,no,7172,yes,102967282.0,26894000,238000,0.0,own,excellent,7237083,6,100694.0,0.79452,228219.0,130575282.0,0.0,0.0,0.63,0,0,1,0,0.99,48,-17,0.1313,0.00405
106,38,29750.0,yes,high_school,permanent,20,no,6546,no,0.0,0,28400,0.0,rent,fair,2362110,11,17953.0,0.91781,27933.0,85200.0,0.0,0.0,0.88,0,1,0,0,0.7,49,-16,0.5966,2e-05
107,46,29750.0,no,master,permanent,21,no,27631,yes,43020816.0,6902442,165800,817547.0,mortgage,excellent,20920449,28,62776.0,0.79452,158986.0,49603111.0,0.75,0.75,0.54,0,0,1,0,0.9,74,9,0.2559,0.00176
108,31,29750.0,yes,basic,permanent,13,no,13883,no,0.0,0,14900,0.0,rent,bad,641080,5,10701.0,0.78082,14247.0,44700.0,0.0,0.0,0.94,0,1,0,0,0.25,36,-29,1.1442,0.0
109,24,29750.0,yes,high_school,permanent,2,no,31506,no,0.0,0,14900,0.0,rent,bad,509641,23,1859.0,0.76712,14206.0,44700.0,0.0,0.0,0.02,1,0,0,0,0.25,47,-18,0.6152,0.00031
110,27,29750.0,no,high_school,permanent,7,no,856,no,0.0,0,15300,0.0,rent,bad,873987,9,8114.0,0.71233,14420.0,45900.0,0.0,0.0,0.81,0,1,0,0,0.27,36,-29,1.0626,0.0
111,47,29750.0,no,bachelor,permanent,1,no,22921,yes,0.0,3534123,93200,539115.0,mortgage,excellent,9294329,33,23698.0,0.69863,87582.0,3274608.0,0.76,0.81,0.27,0,0,1,0,0.84,80,15,0.2292,0.17853
112,20,29750.0,no,basic,freelancer,2,no,1,no,0.0,0,17700,0.0,rent,bad,1298508,30,3639.0,0.32877,15324.0,53100.0,0.0,0.0,0.2,1,0,0,0,0.33,50,-15,0.6911,0.00031
113,41,29750.0,no,high_school,freelancer,19,no,1,no,0.0,0,35700,0.0,rent,bad,3628879,20,15209.0,0.56164,32570.0,107100.0,0.0,0.0,0.68,0,0,1,0,0.75,61,-4,0.8222,3e-05
114,18,29750.0,yes,high_school,permanent,0,yes,22960,no,0.0,0,7438,0.0,rent,bad,126200,6,1756.0,0.73973,7050.0,22312.0,0.0,0.0,0.22,1,0,0,0,0.07,24,-41,0.7923,0.0
115,45,29750.0,no,high_school,temporary,11,no,57,yes,0.0,2009207,43200,114530.0,mortgage,fair,6425911,35,15457.0,0.65753,40241.0,2024277.0,0.75,0.77,0.51,0,0,1,0,0.79,80,15,0.6543,0.00044
116,48,29750.0,no,bachelor,permanent,11,no,39141,no,0.0,0,41700,0.0,rent,excellent,2763146,8,28851.0,0.75342,39644.0,125100.0,0.0,0.0,0.93,0,0,1,0,0.79,56,-9,0.238,4e-05
117,55,29750.0,no,high_school,permanent,3,no,995,no,0.0,0,25600,0.0,rent,bad,1244812,15,6946.0,0.63014,23706.0,76800.0,0.0,0.0,0.32,0,0,1,0,0.6,70,5,0.667,0.00023
118,43,29750.0,yes,high_school,permanent,21,no,37475,no,0.0,0,21400,0.0,rent,fair,1103290,22,4206.0,0.87671,20872.0,64200.0,0.0,0.0,0.13,0,0,1,0,0.52,65,0,0.3658,0.49371
119,49,29750.0,no,bachelor,temporary,21,no,20,no,0.0,0,14900,0.0,rent,bad,1561486,30,4376.0,0.69863,14002.0,44700.0,0.0,0.0,0.36,0,0,1,0,0.21,79,14,0.8245,6e-05
